Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,year
10,11,4,48.48,33,33.33,0,0,11,1.1,0,0,0,0,1,0,pawans,bb,2016
,,,,,,,,,,,,,,,,,,
13,53,7,64.54,110,40.9,1,0,45,3.46,2,0,8,0.46,17,47.05,pawans,bb,2015
,,,,,,,,,,,,,,,,,,
8,15,4,77.77,27,40.74,0,0,11,1.37,0,0,4,0.5,10,40,sumits,bb,2018
,,,,,,,,,,,,,,,,,,
4,0,0,60,5,0,0,0,0,0,0,0,0,0,0,0,sumits,bb,2017
,,,,,,,,,,,,,,,,,,
5,9,4,70,20,35,0,0,7,1.4,1,0,2,0.2,5,40,sumits,bb,2016
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vinodk,bb,2018
,,,,,,,,,,,,,,,,,,
19,41,8,74.79,123,26.82,0,0,33,1.73,0,0,8,0.42,29,27.58,vinodk,bb,2017
,,,,,,,,,,,,,,,,,,
9,20,5,77.04,61,31.14,0,0,19,2.11,0,0,1,0.11,6,16.66,vinodk,bb,2016
,,,,,,,,,,,,,,,,,,
16,20,3,0,0,0,0,0,0,0,0,0,20,1.25,55,36.36,rajulal,bb,2018
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rajulal,bb,2017
,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,33.33,rajulal,bb,2015
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rajulal,bb,2014
,,,,,,,,,,,,,,,,,,
5,2,2,0,0,0,0,0,0,0,0,0,2,0.4,12,16.66,rajulal,bb,2013
,,,,,,,,,,,,,,,,,,
4,3,2,100,2,100,0,0,2,0.5,0,0,1,0.25,11,9.09,vijaykumar,bb,2018
,,,,,,,,,,,,,,,,,,
8,6,3,66.66,3,33.33,0,0,1,0.12,2,0,5,0.37,12,41.66,vijaykumar,bb,2017
,,,,,,,,,,,,,,,,,,
24,63,6,80,10,0,0,0,0,0,1,6,63,2.58,122,51.63,mahenders,bb,2018
,,,,,,,,,,,,,,,,,,
22,58,10,100,2,50,0,0,1,0.04,5,3,57,2.36,113,50.44,mahenders,bb,2017
,,,,,,,,,,,,,,,,,,
10,16,4,50,2,0,0,0,0,0,3,0,16,1.3,34,47.05,sandeep,bb,2018
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sandeep,bb,2017
,,,,,,,,,,,,,,,,,,
3,3,3,0,0,0,0,0,0,0,0,0,3,1,10,30,sandeep,bb,2015
,,,,,,,,,,,,,,,,,,
7,4,2,0,0,0,0,0,0,0,0,0,4,0.57,14,28.57,ajaybb,bb,2018
,,,,,,,,,,,,,,,,,,
15,38,5,0,0,0,0,0,0,0,2,2,38,2.4,71,53.52,amitsheoran,bb,2018
,,,,,,,,,,,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,amitsheoran,bb,2017
,,,,,,,,,,,,,,,,,,
6,3,1,100,2,0,0,0,0,0,0,0,3,0.5,11,27.27,ankit,bb,2018
,,,,,,,,,,,,,,,,,,
24,45,7,92.59,27,18.51,0,0,5,0.2,3,1,40,1.54,87,45.97,ashishkumar,bb,2018
,,,,,,,,,,,,,,,,,,
20,32,6,75.71,70,24.28,0,0,17,0.85,1,1,15,0.7,49,30.61,ashishkumar,bb,2017
,,,,,,,,,,,,,,,,,,
14,37,7,81.25,48,29.16,0,0,14,1,6,1,23,1.21,44,52.27,ashishkumar,bb,2016
,,,,,,,,,,,,,,,,,,
13,32,7,84.21,19,36.84,0,0,7,0.53,0,1,25,1.92,61,40.98,ashishkumar,bb,2015
,,,,,,,,,,,,,,,,,,
5,5,4,90,10,20,0,0,2,0.4,1,0,3,0.4,10,30,ashishkumar,bb,2014
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sanjaysh,bb,2018
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sanjaysh,bb,2017
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sanjaysh,bb,2016
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sanjaysh,bb,2015
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sanjaysh,bb,2014
