Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,year
,,,,,,,,,,,,,,,,,,
9,33,15,82.75,58,53.44,0,1,31,3.44,1,0,2,0.11,5,40,deepaknar,jaipur,2015
,,,,,,,,,,,,,,,,,,
16,61,10,70.74,147,38.77,1,0,57,3.56,0,0,4,0.25,14,28.57,deepaknar,jaipur,2014
,,,,,,,,,,,,,,,,,,
6,4,2,54.54,11,18.18,0,0,2,0.33,0,0,2,0.33,3,66.66,lokesh,jaipur,2018
,,,,,,,,,,,,,,,,,,
19,85,9,73.63,201,40.29,4,0,81,4.26,0,0,4,0.21,21,19.04,nilesh,jaipur,2018
,,,,,,,,,,,,,,,,,,
21,105,11,83.8,247,39.67,2,3,98,4.66,2,0,7,0.23,18,38.88,nilesh,jaipur,2017
,,,,,,,,,,,,,,,,,,
15,62,10,75.53,139,43.88,1,1,61,4.06,0,0,1,0.06,10,10,nilesh,jaipur,2016
,,,,,,,,,,,,,,,,,,
7,10,5,75,20,50,1,0,10,1.42,0,0,0,0,3,0,nilesh,jaipur,2015
,,,,,,,,,,,,,,,,,,
18,51,8,0,2,100,0,0,2,0.11,4,4,49,2.5,85,57.64,amitjaipur,jaipur,2018
,,,,,,,,,,,,,,,,,,
22,61,6,85.71,7,0,0,0,0,0,6,2,61,2.5,117,52.13,amitjaipur,jaipur,2017
,,,,,,,,,,,,,,,,,,
16,53,6,0,2,100,0,0,2,0.12,4,3,51,2.93,89,57.3,amitjaipur,jaipur,2016
,,,,,,,,,,,,,,,,,,
4,11,3,100,4,0,0,0,0,0,0,0,11,2.75,27,40.74,amitjaipur,jaipur,2015
,,,,,,,,,,,,,,,,,,
12,26,5,85.71,35,14.28,0,0,5,0.41,1,0,21,1.66,41,51.21,amitjaipur,jaipur,2014
,,,,,,,,,,,,,,,,,,
22,67,6,100,1,0,0,0,0,0,5,4,67,2.81,128,52.34,sandeepdhull,jaipur,2018
,,,,,,,,,,,,,,,,,,
12,35,8,0,0,0,0,0,0,0,0,2,35,2.91,67,52.23,sandeepdhull,jaipur,2016
,,,,,,,,,,,,,,,,,,
10,32,6,0,1,0,0,0,0,0,6,2,32,2.6,61,52.45,sandeepdhull,jaipur,2015
,,,,,,,,,,,,,,,,,,
16,38,8,86.66,15,33.33,0,0,5,0.31,3,4,33,1.87,81,40.74,sunilsid,jaipur,2018
,,,,,,,,,,,,,,,,,,
12,16,6,100,2,0,0,0,0,0,1,1,16,1.25,44,36.36,sunilsid,jaipur,2017
,,,,,,,,,,,,,,,,,,
9,31,11,78.94,57,43.85,1,0,25,2.77,1,0,6,0.55,11,54.54,nitinraw,jaipur,2018
,,,,,,,,,,,,,,,,,,
21,85,14,81.08,148,43.91,4,2,65,3.09,1,0,20,0.9,52,38.46,nitinraw,jaipur,2017
,,,,,,,,,,,,,,,,,,
14,14,3,100,1,0,0,0,0,0,2,0,14,0.85,46,30.43,santhapanaselvam,jaipur,2018
,,,,,,,,,,,,,,,,,,
10,15,3,0,0,0,0,0,0,0,0,0,15,1.5,31,48.38,santhapanaselvam,jaipur,2017
,,,,,,,,,,,,,,,,,,
6,10,3,100,6,16.66,0,0,1,0.16,2,0,9,1.16,26,34.61,vishaljai,jaipur,2018
,,,,,,,,,,,,,,,,,,
5,11,7,57.14,7,28.57,0,0,2,0.4,3,1,9,1.2,23,39.13,vishaljai,jaipur,2017
,,,,,,,,,,,,,,,,,,
21,233,27,76.21,391,59.59,6,15,233,11.09,0,0,0,0,1,0,pardeepnar,patna,2018
,,,,,,,,,,,,,,,,,,
26,369,34,80.71,586,62.96,18,19,369,14.19,0,0,0,0,10,0,pardeepnar,patna,2017
,,,,,,,,,,,,,,,,,,
16,133,18,76.04,263,49.8,3,5,131,8.18,1,0,2,0.06,6,33.33,pardeepnar,patna,2016
,,,,,,,,,,,,,,,,,,
16,121,24,75.93,187,62.03,10,5,116,7.25,0,0,5,0.31,13,38.46,pardeepnar,patna,2015
,,,,,,,,,,,,,,,,,,
6,9,4,68.42,38,23.68,1,0,9,1.5,0,0,0,0,2,0,pardeepnar,patna,2014
,,,,,,,,,,,,,,,,,,
18,82,12,77.77,171,46.19,2,2,79,4.38,1,0,3,0.11,11,27.27,jangpat,patna,2018
,,,,,,,,,,,,,,,,,,
21,89,9,78.77,212,41.98,0,0,89,4.23,0,0,0,0,12,0,jangpat,patna,2017
,,,,,,,,,,,,,,,,,,
11,65,13,76.66,120,50.83,2,2,61,5.54,0,0,4,0.36,17,23.52,jangpat,patna,2016
,,,,,,,,,,,,,,,,,,
15,90,13,83.15,184,42.93,2,2,79,5.26,2,0,11,0.6,20,55,jangpat,patna,2015
,,,,,,,,,,,,,,,,,,
14,50,12,72.85,140,34.28,3,1,48,3.42,0,0,2,0.14,15,13.33,jangpat,patna,2014
,,,,,,,,,,,,,,,,,,
11,57,15,71.08,83,66.26,5,2,55,5,0,0,2,0.18,14,14.28,jangpat,patna,2013
,,,,,,,,,,,,,,,,,,
14,57,7,70.16,124,36.29,1,0,45,3.21,2,0,12,0.71,23,52.17,monupat,patna,2018
,,,,,,,,,,,,,,,,,,
19,49,6,79.22,77,24.67,1,0,19,1,1,1,30,1.52,54,55.55,monupat,patna,2017
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,purnapat,patna,2018
,,,,,,,,,,,,,,,,,,
17,13,4,0,1,0,0,0,0,0,1,0,13,0.7,49,26.53,neerajpat,patna,2017
,,,,,,,,,,,,,,,,,,
22,58,5,87.5,8,0,0,0,0,0,2,4,58,2.54,134,43.28,jaideeppat,patna,2018
,,,,,,,,,,,,,,,,,,
26,71,7,100,5,0,0,0,0,0,5,5,71,2.53,154,46.1,jaideeppat,patna,2017
,,,,,,,,,,,,,,,,,,
15,23,5,60,5,60,0,0,3,0.2,3,2,20,1.13,59,33.89,jawaharpat,patna,2018
,,,,,,,,,,,,,,,,,,
18,35,4,78.26,23,26.08,0,0,6,0.33,3,0,29,1.44,69,42.02,jawaharpat,patna,2017
,,,,,,,,,,,,,,,,,,
6,2,1,0,2,0,0,0,0,0,0,0,2,0.33,12,16.66,jawaharpat,patna,2016
,,,,,,,,,,,,,,,,,,
13,18,5,81.81,11,54.54,0,0,6,0.46,0,0,12,0.92,29,41.37,oshtorakpat,patna,2018
,,,,,,,,,,,,,,,,,,
16,20,4,0,0,0,0,0,0,0,3,0,20,1.06,55,36.36,oshtorakpat,patna,2017
,,,,,,,,,,,,,,,,,,
7,13,5,0,1,100,0,0,1,0.14,3,1,12,1.28,21,57.14,oshtorakpat,patna,2016
,,,,,,,,,,,,,,,,,,
10,18,4,0,1,0,0,0,0,0,1,0,18,1.7,40,45,oshtorakpat,patna,2015
,,,,,,,,,,,,,,,,,,
4,7,5,0,1,0,0,0,0,0,1,1,7,1.5,13,53.84,oshtorakpat,patna,2014
,,,,,,,,,,,,,,,,,,
14,37,9,78.57,42,50,1,0,21,1.5,0,0,16,1.14,37,43.24,jaglanpat,patna,2018
,,,,,,,,,,,,,,,,,,
13,13,5,76,25,40,1,0,10,0.76,0,0,3,0.23,9,33.33,jaglanpat,patna,2017
,,,,,,,,,,,,,,,,,,
23,57,7,96.29,54,5.55,0,0,3,0.13,2,4,54,2.26,129,41.86,surjeetpune,pune,2018
,,,,,,,,,,,,,,,,,,
24,79,8,98.07,52,5.76,0,0,3,0.12,4,9,76,3,146,52.05,surjeetpune,pune,2017
,,,,,,,,,,,,,,,,,,
14,37,5,100,3,0,0,0,0,0,4,2,37,2.35,73,50.68,surjeetpune,pune,2016
,,,,,,,,,,,,,,,,,,
12,49,9,100,6,16.66,0,0,1,0.08,1,5,48,3.91,75,64,surjeetpune,pune,2015
,,,,,,,,,,,,,,,,,,
6,8,5,75.86,29,27.58,1,0,8,1.33,0,0,0,0,3,0,amitpune,pune,2018
,,,,,,,,,,,,,,,,,,
14,50,10,79.43,141,34.75,1,1,49,3.5,0,0,1,0.07,3,33.33,darshan,pune,2018
,,,,,,,,,,,,,,,,,,
16,40,8,63.88,72,45.83,1,0,33,2.06,3,0,7,0.25,23,30.43,darshan,pune,2017
,,,,,,,,,,,,,,,,,,
2,2,2,0,1,0,0,0,0,0,0,0,2,1,8,25,darshan,pune,2015
,,,,,,,,,,,,,,,,,,
22,102,10,72.48,189,46.03,3,2,87,3.95,1,0,15,0.63,38,39.47,manjeetpune,pune,2018
,,,,,,,,,,,,,,,,,,
11,102,20,83.24,191,52.35,1,4,100,9.09,0,0,2,0.18,9,22.22,nitintom,pune,2018
,,,,,,,,,,,,,,,,,,
20,177,18,86.23,327,51.07,7,7,167,8.35,1,0,10,0.45,30,33.33,nitintom,pune,2017
,,,,,,,,,,,,,,,,,,
12,34,7,74.1,112,29.46,1,0,33,2.75,0,0,1,0.08,8,12.5,nitintom,pune,2016
,,,,,,,,,,,,,,,,,,
10,81,13,84.37,160,48.12,1,2,77,7.7,1,0,4,0.3,11,36.36,nitintom,pune,2015
,,,,,,,,,,,,,,,,,,
13,45,9,80,90,50,1,0,45,3.46,0,0,0,0,5,0,pawankumar,pune,2018
,,,,,,,,,,,,,,,,,,
21,122,17,75.7,284,42.95,2,3,122,5.8,0,0,0,0,13,0,pawankumar,pune,2017
,,,,,,,,,,,,,,,,,,
9,21,6,75.75,66,30.3,0,0,20,2.22,0,0,1,0.11,7,14.28,pawankumar,pune,2016
,,,,,,,,,,,,,,,,,,
5,6,3,80,25,24,0,0,6,1.2,0,0,0,0,2,0,pawankumar,pune,2015
,,,,,,,,,,,,,,,,,,
10,16,7,61.9,42,38.09,1,0,16,1.6,0,0,0,0,1,0,pawankumar,pune,2014
,,,,,,,,,,,,,,,,,,
10,44,14,72.41,87,49.42,0,1,43,4.3,0,0,1,0.1,7,14.28,pawankumar,pune,2013
,,,,,,,,,,,,,,,,,,
3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,sriram,pune,2018
,,,,,,,,,,,,,,,,,,
11,36,7,70.88,79,44.3,0,0,35,3.18,0,0,1,0.09,7,14.28,sriram,pune,2017
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,depakya,pune,2018
,,,,,,,,,,,,,,,,,,
4,8,4,50,2,0,0,0,0,0,1,0,8,1.75,19,42.1,depakya,pune,2017
,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,haditak,pune,2018
,,,,,,,,,,,,,,,,,,
9,9,2,41.66,12,33.33,0,0,4,0.44,0,0,5,0.55,23,21.73,haditak,pune,2017
,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,100,haditak,pune,2016
,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,haditak,pune,2015
,,,,,,,,,,,,,,,,,,
10,12,3,81.81,11,0,0,0,0,0,3,0,12,0.9,38,31.57,shubham,pune,2018
,,,,,,,,,,,,,,,,,,
20,57,6,87.5,8,12.5,0,0,1,0.05,4,4,56,2.6,113,49.55,grishmaru,pune,2018
,,,,,,,,,,,,,,,,,,
21,69,8,88.88,18,27.77,1,0,5,0.23,3,5,64,2.9,111,57.65,grishmaru,pune,2017
,,,,,,,,,,,,,,,,,,
12,25,5,100,13,0,0,0,0,0,2,1,25,1.91,58,43.1,grishmaru,pune,2016
,,,,,,,,,,,,,,,,,,
11,34,5,94.11,17,5.88,0,0,1,0.09,0,3,33,3,65,50.76,grishmaru,pune,2015
,,,,,,,,,,,,,,,,,,
13,27,5,100,5,0,0,0,0,0,1,1,27,2,66,40.9,grishmaru,pune,2014
,,,,,,,,,,,,,,,,,,
12,25,6,83.33,6,33.33,0,0,2,0.16,1,1,23,1.83,70,32.85,grishmaru,pune,2013
,,,,,,,,,,,,,,,,,,
20,18,5,88.88,9,0,0,0,0,0,1,1,18,0.85,45,40,sagerpune,pune,2018
,,,,,,,,,,,,,,,,,,
17,33,6,90,10,10,0,0,1,0.05,3,3,32,1.7,62,51.61,sagerpune,pune,2017
,,,,,,,,,,,,,,,,,,
11,6,2,0,0,0,0,0,0,0,0,0,6,0.54,16,37.5,sagerpune,pune,2016
,,,,,,,,,,,,,,,,,,
22,204,20,79.38,388,52.31,3,7,203,9.22,0,0,1,0.04,11,9.09,ajaytak,tn,2018
,,,,,,,,,,,,,,,,,,
22,222,20,81.57,407,52.33,3,12,213,9.68,0,0,9,0.4,25,36,ajaytak,tn,2017
,,,,,,,,,,,,,,,,,,
16,64,12,78.06,155,40.64,5,1,63,3.93,0,0,1,0.06,8,12.5,ajaytak,tn,2016
,,,,,,,,,,,,,,,,,,
14,56,11,77.02,148,35.13,2,1,52,3.71,0,0,4,0.28,9,44.44,ajaytak,tn,2015
,,,,,,,,,,,,,,,,,,
13,80,12,71.05,190,41.57,6,2,79,6.07,0,0,1,0.07,6,16.66,ajaytak,tn,2014
,,,,,,,,,,,,,,,,,,
15,127,16,74.56,228,53.5,2,5,122,8.13,0,0,5,0.33,18,27.77,ajaytak,tn,2013
,,,,,,,,,,,,,,,,,,
3,8,8,76.47,17,47.05,0,0,8,2.66,0,0,0,0,0,0,anandp,tn,2018
,,,,,,,,,,,,,,,,,,
21,166,18,75.14,350,45.42,4,4,159,7.57,1,0,7,0.28,19,36.84,rahulchau,tn,2018
,,,,,,,,,,,,,,,,,,
22,193,17,81.06,412,44.66,5,8,184,8.36,0,0,9,0.4,33,27.27,rahulchau,tn,2017
,,,,,,,,,,,,,,,,,,
16,150,18,86.15,325,44.92,6,7,146,9.12,1,0,4,0.18,11,36.36,rahulchau,tn,2016
,,,,,,,,,,,,,,,,,,
13,99,17,79.8,208,41.82,1,4,87,6.69,2,0,12,0.76,29,41.37,rahulchau,tn,2015
,,,,,,,,,,,,,,,,,,
14,107,14,83.06,183,53.55,6,5,98,7,0,0,9,0.64,34,26.47,rahulchau,tn,2014
,,,,,,,,,,,,,,,,,,
14,161,23,82.15,241,62.65,2,8,151,10.78,1,0,10,0.64,31,32.25,rahulchau,tn,2013
,,,,,,,,,,,,,,,,,,
6,7,5,65.38,26,26.92,0,0,7,1.16,0,0,0,0,7,0,shabba,tn,2018
,,,,,,,,,,,,,,,,,,
12,38,13,80.55,108,32.4,0,1,35,2.91,1,0,3,0.16,14,21.42,shabba,tn,2017
,,,,,,,,,,,,,,,,,,
12,35,10,90,100,24,1,0,24,2,5,1,11,0.5,19,57.89,shabba,tn,2016
,,,,,,,,,,,,,,,,,,
10,13,4,71.64,67,19.4,0,0,13,1.3,0,0,0,0,4,0,shabba,tn,2015
,,,,,,,,,,,,,,,,,,
10,47,10,79.83,124,37.09,2,1,46,4.6,0,0,1,0.1,6,16.66,shabba,tn,2014
,,,,,,,,,,,,,,,,,,
10,67,15,89.91,119,55.46,2,3,66,6.6,0,0,1,0.1,13,7.69,shabba,tn,2013
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vineetsh,tn,2018
,,,,,,,,,,,,,,,,,,
18,30,4,86.53,104,15.38,0,0,16,0.88,1,0,14,0.72,41,34.14,vineetsh,tn,2017
,,,,,,,,,,,,,,,,,,
4,9,6,78.37,37,21.62,0,0,8,2,0,0,1,0.25,4,25,vineetsh,tn,2015
,,,,,,,,,,,,,,,,,,
8,10,4,71.42,56,14.28,0,0,8,1,0,0,2,0.25,12,16.66,vineetsh,tn,2014
,,,,,,,,,,,,,,,,,,
12,17,7,0,0,0,0,0,0,0,1,1,17,1.33,51,33.33,ponparthiban,tn,2018
,,,,,,,,,,,,,,,,,,
14,31,4,75,4,0,0,0,0,0,3,0,31,2,69,44.92,mohitchi,tn,2018
,,,,,,,,,,,,,,,,,,
20,42,7,88.88,9,33.33,0,0,3,0.15,4,2,39,1.75,83,46.98,mohitchi,tn,2017
,,,,,,,,,,,,,,,,,,
14,50,8,87.5,8,37.5,0,0,3,0.21,3,4,47,3.14,87,54.02,mohitchi,tn,2016
,,,,,,,,,,,,,,,,,,
13,46,6,100,3,0,0,0,0,0,2,6,46,3.38,74,62.16,mohitchi,tn,2015
,,,,,,,,,,,,,,,,,,
14,42,5,100,5,0,0,0,0,0,3,3,42,2.78,72,58.33,mohitchi,tn,2014
,,,,,,,,,,,,,,,,,,
16,36,8,100,1,100,0,0,1,0.06,5,2,35,1.87,89,39.32,mohitchi,tn,2013
,,,,,,,,,,,,,,,,,,
19,67,8,79.31,29,27.58,0,0,8,0.42,5,2,59,2.84,121,48.76,manjeetchhil,tn,2018
,,,,,,,,,,,,,,,,,,
15,52,9,68.96,29,17.24,0,0,5,0.33,1,3,47,3.06,85,55.29,manjeetchhil,tn,2017
,,,,,,,,,,,,,,,,,,
12,68,11,75.32,77,31.16,1,0,24,2,1,5,44,3.58,73,60.27,manjeetchhil,tn,2016
,,,,,,,,,,,,,,,,,,
15,106,13,91.81,171,26.31,2,0,45,3,5,5,61,3.73,99,61.61,manjeetchhil,tn,2015
,,,,,,,,,,,,,,,,,,
16,107,11,85.25,217,30.87,0,0,67,4.18,1,3,40,2.43,78,51.28,manjeetchhil,tn,2014
,,,,,,,,,,,,,,,,,,
16,122,14,71.75,177,40.11,2,2,71,4.43,0,3,51,3.18,84,60.71,manjeetchhil,tn,2013
,,,,,,,,,,,,,,,,,,
22,71,7,83.33,72,40.27,1,0,29,1.31,1,0,42,1.86,88,47.72,ransingh,tn,2018
,,,,,,,,,,,,,,,,,,
23,64,7,81.48,27,44.44,0,0,12,0.52,3,2,52,2.13,112,46.42,ransingh,tn,2017
,,,,,,,,,,,,,,,,,,
16,33,4,100,9,55.55,0,0,5,0.31,1,0,28,1.68,62,45.16,ransingh,tn,2016
,,,,,,,,,,,,,,,,,,
14,41,5,75.43,57,35.08,2,0,20,1.42,0,0,21,1.5,52,40.38,ransingh,tn,2015
,,,,,,,,,,,,,,,,,,
14,44,9,85.71,35,37.14,0,0,13,0.92,4,1,31,1.92,53,58.49,ransingh,tn,2014
,,,,,,,,,,,,,,,,,,
10,36,8,68.75,16,68.75,1,0,11,1.1,2,1,25,2.3,41,60.97,ransingh,tn,2013
,,,,,,,,,,,,,,,,,,
3,6,5,57.14,7,85.71,0,0,6,2,0,0,0,0,0,0,victor,tn,2018
,,,,,,,,,,,,,,,,,,
21,56,6,100,26,0,0,0,0,0,8,4,56,2.28,98,57.14,aboz,telugu,2018
,,,,,,,,,,,,,,,,,,
24,66,5,83.33,6,16.66,0,0,1,0.04,2,2,65,2.62,116,56.03,aboz,telugu,2017
,,,,,,,,,,,,,,,,,,
2,4,3,85.71,7,14.28,0,0,1,0.5,0,0,3,1.5,8,37.5,amittel,telugu,2018
,,,,,,,,,,,,,,,,,,
8,15,6,77.14,35,37.14,0,0,13,1.62,1,0,2,0.12,6,33.33,kamal,telugu,2018
,,,,,,,,,,,,,,,,,,
4,9,5,69.23,26,34.61,0,0,9,2.25,0,0,0,0,3,0,ranish,telugu,2018
,,,,,,,,,,,,,,,,,,
21,221,19,77.57,321,67.91,10,12,218,10.38,0,0,3,0.14,9,33.33,siddharth,telugu,2018
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suraj,telugu,2017
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suraj,telugu,2014
,,,,,,,,,,,,,,,,,,
16,8,2,100,3,0,0,0,0,0,0,0,8,0.5,36,22.22,carun,telugu,2018
,,,,,,,,,,,,,,,,,,
20,36,8,93.75,16,6.25,0,0,1,0.05,5,1,35,1.5,83,42.16,carun,telugu,2017
,,,,,,,,,,,,,,,,,,
14,15,3,100,2,0,0,0,0,0,1,0,15,1,40,37.5,carun,telugu,2016
,,,,,,,,,,,,,,,,,,
11,18,7,77.77,9,11.11,0,0,1,0.09,5,1,17,1.09,35,48.57,carun,telugu,2015
,,,,,,,,,,,,,,,,,,
8,11,3,0,0,0,0,0,0,0,1,0,11,1.25,23,47.82,carun,telugu,2014
,,,,,,,,,,,,,,,,,,
6,12,4,100,3,33.33,0,0,1,0.16,0,0,11,1.83,25,44,krush,telugu,2018
,,,,,,,,,,,,,,,,,,
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,krush,telugu,2015
,,,,,,,,,,,,,,,,,,
17,60,9,100,40,0,0,0,0,0,9,5,60,3,95,63.15,bharad,telugu,2018
,,,,,,,,,,,,,,,,,,
22,71,7,80,5,0,0,0,0,0,3,5,71,3.09,137,51.82,bharad,telugu,2017
,,,,,,,,,,,,,,,,,,
2,7,5,100,1,100,0,0,1,0.5,0,0,6,3,15,40,bharad,telugu,2016
,,,,,,,,,,,,,,,,,,
4,15,13,65.21,23,56.52,1,1,13,3.25,1,0,2,0.25,1,200,armaan,telugu,2018
,,,,,,,,,,,,,,,,,,
22,47,5,81.66,60,36.66,0,0,22,1,4,1,25,0.95,69,36.23,farad,telugu,2018
,,,,,,,,,,,,,,,,,,
18,28,4,61.11,18,33.33,0,0,6,0.33,0,0,22,1.22,54,40.74,farad,telugu,2017
,,,,,,,,,,,,,,,,,,
23,83,7,100,14,0,0,0,0,0,3,6,83,3.47,130,63.84,fazel,mumba,2018
,,,,,,,,,,,,,,,,,,
24,57,9,81.81,11,0,0,0,0,0,3,4,57,2.25,99,57.57,fazel,mumba,2017
,,,,,,,,,,,,,,,,,,
16,52,8,100,1,0,0,0,0,0,7,4,52,2.81,72,72.22,fazel,mumba,2016
,,,,,,,,,,,,,,,,,,
11,33,6,50,2,50,0,0,1,0.09,0,2,32,2.9,46,69.56,fazel,mumba,2015
,,,,,,,,,,,,,,,,,,
5,12,7,75,4,25,0,0,1,0.2,2,1,11,1.8,13,84.61,fazel,mumba,2014
,,,,,,,,,,,,,,,,,,
15,53,13,82.05,117,40.17,1,2,47,3.13,0,0,6,0.4,19,31.57,abhihmumb,mumba,2018
,,,,,,,,,,,,,,,,,,
3,4,4,72.72,11,36.36,0,0,4,1.33,0,0,0,0,0,0,arjundes,mumba,2018
,,,,,,,,,,,,,,,,,,
19,56,8,60,105,52.38,0,0,55,2.89,0,0,1,0.05,16,6.25,athul,mumba,2018
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,athul,mumba,2017
,,,,,,,,,,,,,,,,,,
4,8,7,57.14,14,57.14,0,0,8,2,0,0,0,0,1,0,athul,mumba,2016
,,,,,,,,,,,,,,,,,,
11,31,10,76.92,65,47.69,1,1,31,2.81,0,0,0,0,1,0,dongge,mumba,2018
,,,,,,,,,,,,,,,,,,
17,29,5,70.58,68,42.64,0,0,29,1.7,0,0,0,0,5,0,dongge,mumba,2017
,,,,,,,,,,,,,,,,,,
19,108,11,83.51,188,50,1,0,94,4.94,1,0,14,0.68,32,43.75,baliyan,mumba,2018
,,,,,,,,,,,,,,,,,,
17,74,11,79.39,165,39.39,1,1,65,3.82,0,0,9,0.52,28,32.14,baliyan,mumba,2017
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baliyan,mumba,2016
,,,,,,,,,,,,,,,,,,
11,56,11,81.3,107,50.46,2,2,54,4.9,0,0,2,0.18,17,11.76,baliyan,mumba,2015
,,,,,,,,,,,,,,,,,,
5,12,7,76,25,48,0,0,12,2.4,0,0,0,0,4,0,baliyan,mumba,2014
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vinodk,mumba,2018
,,,,,,,,,,,,,,,,,,
4,6,4,82.6,23,26.08,0,0,6,1.5,0,0,0,0,2,0,vinodk,mumba,2017
,,,,,,,,,,,,,,,,,,
3,8,4,58.33,24,33.33,0,0,8,2.66,0,0,0,0,1,0,vinodk,mumba,2016
,,,,,,,,,,,,,,,,,,
7,16,5,62.5,40,40,0,0,16,2.28,0,0,0,0,2,0,vinodk,mumba,2015
,,,,,,,,,,,,,,,,,,
2,0,0,33.33,3,0,0,0,0,0,0,0,0,0,0,0,vinodk,mumba,2014
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vinodk,mumba,2013
,,,,,,,,,,,,,,,,,,
8,10,2,0,0,0,0,0,0,0,0,0,10,1.25,21,47.61,rajaguru,mumba,2018
,,,,,,,,,,,,,,,,,,
7,6,2,100,3,0,0,0,0,0,0,0,6,0.85,22,27.27,rajaguru,mumba,2015
,,,,,,,,,,,,,,,,,,
12,18,3,50,2,50,0,0,1,0.08,2,0,17,1.25,42,40.47,rajaguru,mumba,2014
,,,,,,,,,,,,,,,,,,
14,19,4,0,0,0,0,0,0,0,1,0,19,1.28,55,34.54,rajaguru,mumba,2013
,,,,,,,,,,,,,,,,,,
13,15,5,0,0,0,0,0,0,0,4,1,15,0.84,34,44.11,chang,mumba,2018
,,,,,,,,,,,,,,,,,,
14,2,1,0,0,0,0,0,0,0,0,0,2,0.14,27,7.4,chang,mumba,2017
,,,,,,,,,,,,,,,,,,
22,62,7,100,3,0,0,0,0,0,3,2,62,2.68,127,48.81,surinder,mumba,2018
,,,,,,,,,,,,,,,,,,
22,58,6,100,3,0,0,0,0,0,0,3,58,2.63,152,38.15,surinder,mumba,2017
,,,,,,,,,,,,,,,,,,
18,66,7,87.2,86,29.06,1,0,25,1.38,7,1,41,1.88,81,50.61,sandeepmumba,mumba,2018
,,,,,,,,,,,,,,,,,,
21,85,9,93.16,117,28.2,1,0,33,1.57,3,1,52,2.33,102,50.98,sandeepmumba,mumba,2017
,,,,,,,,,,,,,,,,,,
16,66,7,89.77,88,27.27,0,0,24,1.5,2,3,42,2.5,83,50.6,sandeepmumba,mumba,2016
,,,,,,,,,,,,,,,,,,
14,64,11,98.18,55,16.36,0,0,9,0.64,2,6,55,3.78,95,57.89,sandeepmumba,mumba,2015
,,,,,,,,,,,,,,,,,,
16,83,11,81.5,146,31.5,1,0,46,2.87,3,2,37,2.12,71,52.11,sandeepmumba,mumba,2014
,,,,,,,,,,,,,,,,,,
16,119,14,80.45,174,52.87,8,1,92,5.75,6,2,27,1.31,41,65.85,sandeepmumba,mumba,2013
,,,,,,,,,,,,,,,,,,
25,101,8,85.71,7,14.28,0,0,1,0.04,8,8,100,3.68,154,64.93,niteshk,UP,2018
,,,,,,,,,,,,,,,,,,
19,47,5,100,2,0,0,0,0,0,1,4,47,2.42,91,51.64,niteshk,UP,2017
,,,,,,,,,,,,,,,,,,
9,23,8,68.75,48,43.75,1,0,21,2.33,0,0,2,0.22,5,40,azad,UP,2018
,,,,,,,,,,,,,,,,,,
20,164,17,74.41,301,53.15,3,10,160,8,0,0,4,0.2,27,14.81,monug,UP,2018
,,,,,,,,,,,,,,,,,,
26,202,12,78.63,365,52.32,4,9,191,7.34,1,0,11,0.38,35,31.42,monug,UP,2017
,,,,,,,,,,,,,,,,,,
13,63,11,75.59,168,35.11,0,0,59,4.53,1,0,4,0.23,13,30.76,monug,UP,2016
,,,,,,,,,,,,,,,,,,
23,104,10,79.77,262,38.16,3,1,100,4.34,0,0,4,0.17,19,21.05,rishank,UP,2018
,,,,,,,,,,,,,,,,,,
21,170,28,75.73,305,54.09,12,5,165,7.85,1,0,5,0.19,16,31.25,rishank,UP,2017
,,,,,,,,,,,,,,,,,,
14,70,11,70.21,141,49.64,2,2,70,5,0,0,0,0,17,0,rishank,UP,2016
,,,,,,,,,,,,,,,,,,
16,115,14,74.45,184,57.6,4,2,106,6.62,1,0,9,0.5,22,40.9,rishank,UP,2015
,,,,,,,,,,,,,,,,,,
13,58,8,67.5,120,36.66,0,0,44,3.38,0,0,14,1.07,26,53.84,rishank,UP,2014
,,,,,,,,,,,,,,,,,,
