Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team
7,1,1,0,0,0,0,0,0,0,0,0,1,0.14,4,25,sombirdd,dabang
,,,,,,,,,,,,,,,,,
12,31,12,68.75,64,46.87,1,1,30,2.5,0,0,1,0.08,2,50,merajdd,dabang
,,,,,,,,,,,,,,,,,
17,47,13,86.11,72,50,2,1,36,2.11,0,0,11,0.64,36,30.55,vijaydd,dabang
,,,,,,,,,,,,,,,,,
18,105,13,73.79,248,40.32,0,3,100,5.55,0,0,5,0.27,17,29.41,rogitgulia,gf
,,,,,,,,,,,,,,,,,
6,5,4,40,10,50,0,0,5,0.83,0,0,0,0,0,0,abolfazl,gf
,,,,,,,,,,,,,,,,,
2,4,3,42.85,7,57.14,0,0,4,2,0,0,0,0,0,0,gurvinder,gf
,,,,,,,,,,,,,,,,,
3,4,4,72.72,11,36.36,0,0,4,1.33,0,0,0,0,0,0,harmanjits,gf
,,,,,,,,,,,,,,,,,
4,5,3,45.45,11,18.18,0,0,2,0.5,1,0,3,0.5,2,150,lalitchau,gf
,,,,,,,,,,,,,,,,,
16,60,9,75,132,30.3,0,0,40,2.5,1,0,20,1.18,33,60.6,moregb,gf
,,,,,,,,,,,,,,,,,
16,85,10,72.46,207,40.57,1,2,84,5.25,0,0,1,0.06,8,12.5,sachintan,gf
,,,,,,,,,,,,,,,,,
13,33,8,72.46,69,42.02,3,0,29,2.23,1,0,4,0.23,4,100,sonugf,gf
,,,,,,,,,,,,,,,,,
12,13,3,0,0,0,0,0,0,0,2,0,13,0.91,31,41.93,ankitgf,gf
,,,,,,,,,,,,,,,,,
18,40,7,0,0,0,0,0,0,0,2,3,40,2.11,76,52.63,parvesh,gf
,,,,,,,,,,,,,,,,,
14,15,4,0,0,0,0,0,0,0,1,0,15,1,32,46.87,sumitgf,gf
,,,,,,,,,,,,,,,,,
13,10,2,0,0,0,0,0,0,0,0,0,10,0.76,35,28.57,ruturaj,gf
,,,,,,,,,,,,,,,,,
18,47,7,100,13,7.69,0,0,1,0.05,6,4,46,2.22,86,53.48,sunilkumargf,gf
,,,,,,,,,,,,,,,,,
7,16,6,100,1,0,0,0,0,0,0,1,16,2.28,31,51.61,pankajgf,gf
,,,,,,,,,,,,,,,,,
7,7,3,68.18,22,27.27,0,0,6,0.85,0,0,1,0.14,4,25,vinodkgf,gf
,,,,,,,,,,,,,,,,,
15,38,5,93.75,16,12.5,0,0,2,0.13,3,1,36,2.2,75,48,dharmarajc,hs
,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amirhossein,hs
,,,,,,,,,,,,,,,,,
2,2,2,25,4,50,0,0,2,1,0,0,0,0,0,0,arunkumar,hs
,,,,,,,,,,,,,,,,,
13,58,14,72.56,113,49.55,1,1,56,4.3,0,0,2,0.15,8,25,naveenhs,hs
,,,,,,,,,,,,,,,,,
11,46,10,76,75,61.33,0,1,46,4.18,0,0,0,0,5,0,prashanth,hs
,,,,,,,,,,,,,,,,,
6,12,5,71.42,35,28.57,1,0,10,1.66,0,0,2,0.33,3,66.66,selvamani,hs
,,,,,,,,,,,,,,,,,
1,1,1,50,2,50,0,0,1,1,0,0,0,0,0,0,vikasc,hs
,,,,,,,,,,,,,,,,,
16,157,13,81.62,320,47.81,6,9,153,9.56,0,0,4,0.25,15,26.6,vikashk,hs
,,,,,,,,,,,,,,,,,
17,84,14,80.72,166,48.19,5,2,80,4.7,0,0,4,0.23,16,25,vinayhs,hs
,,,,,,,,,,,,,,,,,
15,34,6,100,2,0,0,0,0,0,4,2,34,2,71,47.88,ravihas,hs
,,,,,,,,,,,,,,,,,
17,37,6,66.66,3,0,0,0,0,0,2,2,37,2.05,94,39.36,vikaskale,hs
,,,,,,,,,,,,,,,,,
15,42,6,0,0,0,0,0,0,0,1,3,42,2.73,91,46.15,sunilhs,hs
,,,,,,,,,,,,,,,,,
6,4,4,0,0,0,0,0,0,0,1,0,4,0.5,15,26.66,parveenhs,hs
,,,,,,,,,,,,,,,,,
2,0,0,100,1,0,0,0,0,0,0,0,0,0,3,0,vikramkan,hs
,,,,,,,,,,,,,,,,,
7,6,3,100,1,100,0,0,1,0.14,1,0,5,0.57,15,33.33,chandsin,hs
,,,,,,,,,,,,,,,,,
9,8,3,0,0,0,0,0,0,0,0,0,8,0.88,28,28.57,kuldeepsin,hs
,,,,,,,,,,,,,,,,,
2,0,0,66.66,3,0,0,0,0,0,0,0,0,0,0,0,tinphon,hs
,,,,,,,,,,,,,,,,,
20,158,14,80.92,304,48.02,2,7,146,7.3,2,0,12,0.5,27,44.44,deepakhooda,jaipur
,,,,,,,,,,,,,,,,,
14,19,5,62.12,66,28.78,0,0,19,1.35,0,0,0,0,2,0,ajinka,jaipur
,,,,,,,,,,,,,,,,,
17,56,11,72.1,147,37.41,0,1,55,3.23,0,0,1,0.05,7,14.28,deepaknar,jaipur
,,,,,,,,,,,,,,,,,
2,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,gumansin,jaipur
,,,,,,,,,,,,,,,,,
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,lokesh,jaipur
,,,,,,,,,,,,,,,,,
17,55,15,77.34,128,41.4,1,1,53,3.11,0,0,2,0.11,7,28.57,nilesh,jaipur
,,,,,,,,,,,,,,,,,
7,20,8,68.75,48,39.58,2,0,19,2.71,0,0,1,0.14,4,25,sushil,jaipur
,,,,,,,,,,,,,,,,,
15,12,3,0,0,0,0,0,0,0,2,0,12,0.66,38,31.57,pavant,jaipur
,,,,,,,,,,,,,,,,,
14,37,5,75,4,25,0,0,1,0.07,3,2,36,2.35,70,51.42,amitjaipur,jaipur
,,,,,,,,,,,,,,,,,
3,4,3,0,0,0,0,0,0,0,1,0,4,1,10,40,elavarasan,jaipur
,,,,,,,,,,,,,,,,,
20,68,8,66.66,3,33.33,0,0,1,0.05,7,5,67,3,133,50.37,sandeepdhull,jaipur
,,,,,,,,,,,,,,,,,
14,9,2,100,2,0,0,0,0,0,3,0,9,0.42,45,20,sunilsid,jaipur
,,,,,,,,,,,,,,,,,
15,51,8,75,96,33.33,1,0,32,2.13,4,1,19,1,32,59.37,nitinraw,jaipur
,,,,,,,,,,,,,,,,,
12,12,4,73.52,34,32.35,1,0,11,0.91,0,0,1,0.08,6,16.66,sachinnar,jaipur
,,,,,,,,,,,,,,,,,
8,14,4,0,0,0,0,0,0,0,1,0,14,1.62,28,50,santhapanaselvam,jaipur
,,,,,,,,,,,,,,,,,
14,41,9,100,1,0,0,0,0,0,7,1,41,2.42,74,55.4,vishaljai,jaipur
,,,,,,,,,,,,,,,,,
19,243,26,75.19,383,63.44,12,13,243,12.78,0,0,0,0,2,0,pardeepnar,patna
,,,,,,,,,,,,,,,,,
7,5,2,50,16,31.25,0,0,5,0.71,0,0,0,0,2,0,ashishpat,patna
,,,,,,,,,,,,,,,,,
13,50,8,81.08,111,44.14,0,0,49,3.76,0,0,1,0.07,10,10,jangpat,patna
,,,,,,,,,,,,,,,,,
17,38,9,75.7,107,28.97,0,0,31,1.82,2,0,7,0.29,19,36.84,mohammadpat,patna
,,,,,,,,,,,,,,,,,
19,36,5,79.36,63,17.46,0,0,11,0.57,7,0,25,0.94,42,59.52,monupat,patna
,,,,,,,,,,,,,,,,,
6,4,1,75,12,33.33,0,0,4,0.66,0,0,0,0,2,0,purnapat,patna
,,,,,,,,,,,,,,,,,
19,51,11,75,4,0,0,0,0,0,4,3,51,2.47,108,47.22,neerajpat,patna
,,,,,,,,,,,,,,,,,
19,48,7,0,0,0,0,0,0,0,3,3,48,2.36,104,46.15,jaideeppat,patna
,,,,,,,,,,,,,,,,,
7,5,2,100,1,0,0,0,0,0,0,0,5,0.71,18,27.77,jawaharpat,patna
,,,,,,,,,,,,,,,,,
3,5,4,75,8,62.5,1,0,5,1.66,0,0,0,0,1,0,amitpat,patna
,,,,,,,,,,,,,,,,,
19,43,5,94.73,38,21.05,0,0,8,0.42,6,1,35,1.52,79,44.3,oshtorakpat,patna
,,,,,,,,,,,,,,,,,
5,3,3,0,0,0,0,0,0,0,1,0,3,0.4,8,37.5,ravindarpat,patna
,,,,,,,,,,,,,,,,,
19,28,6,80.35,56,21.42,0,0,12,0.63,0,0,16,0.84,53,30.18,jaglanpat,patna
,,,,,,,,,,,,,,,,,
19,53,7,94.44,18,11.11,0,0,2,0.1,5,5,51,2.42,103,49.51,surjeetpune,pune
,,,,,,,,,,,,,,,,,
12,35,9,66.66,60,28.33,0,0,17,1.41,1,0,18,1.41,37,48.64,amitpune,pune
,,,,,,,,,,,,,,,,,
6,7,3,70,20,30,0,0,6,1,0,0,1,0.16,8,12.5,darshan,pune
,,,,,,,,,,,,,,,,,
19,126,16,75.96,233,42.48,2,2,99,5.21,1,0,27,1.36,56,48.21,manjeetpune,pune
,,,,,,,,,,,,,,,,,
12,53,11,74.16,120,41.66,0,1,50,4.16,0,0,3,0.25,19,15.78,nitintom,pune
,,,,,,,,,,,,,,,,,
16,113,17,77.77,207,53.14,4,3,110,6.87,0,0,3,0.18,15,20,pankajmohit,pune
,,,,,,,,,,,,,,,,,
6,25,10,79.66,59,42.37,0,1,25,4.16,0,0,0,0,2,0,pawankumar,pune
,,,,,,,,,,,,,,,,,
1,0,0,66.66,6,0,0,0,0,0,0,0,0,0,1,0,sriram,pune
,,,,,,,,,,,,,,,,,
8,8,3,52.17,23,34.78,0,0,8,1,0,0,0,0,2,0,sushantsail,pune
,,,,,,,,,,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,depakya,pune
,,,,,,,,,,,,,,,,,
17,29,5,0,0,0,0,0,0,0,5,2,29,1.41,54,53.7,jashavshah,pune
,,,,,,,,,,,,,,,,,
12,17,4,66.66,6,16.66,0,0,1,0.08,1,0,16,1.25,37,43.24,haditak,pune
,,,,,,,,,,,,,,,,,
13,18,3,100,8,12.5,0,0,1,0.07,2,0,17,1.15,44,38.63,shubham,pune
,,,,,,,,,,,,,,,,,
