,Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,successtackles,successtacklepercent,successfulraid,raidrating,tacklerating
302,18,23,6.0,100.0,3.0,66.66,0.0,0.0,2.0,0.11,3.0,1.0,21.0,1.0,59.0,35.59,carun,telugu,18.0,30.508474576271187,1.9997999999999998,0,0
304,9,6,2.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.66,18.0,33.33,krush,telugu,6.0,33.33333333333333,0.0,0,0
306,18,61,8.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,61.0,2.88,105.0,58.09,bharad,telugu,52.0,49.523809523809526,0.0,0,0
308,6,9,4.0,59.37,32.0,28.12,1.0,0.0,9.0,1.5,0.0,0.0,0.0,0.0,7.0,0.0,armaan,telugu,0.0,0.0,8.9984,0,0
310,18,52,5.0,84.5,71.0,35.21,0.0,0.0,25.0,1.38,0.0,0.0,27.0,1.5,66.0,40.9,farad,telugu,27.0,40.909090909090914,24.9991,0,0
312,19,62,6.0,92.3,13.0,15.38,0.0,0.0,2.0,0.1,3.0,2.0,60.0,3.0,104.0,57.68,fazel,mumba,57.0,54.807692307692314,1.9994,0,0
314,16,109,13.0,81.62,234.0,46.15,2.0,6.0,108.0,6.75,0.0,0.0,1.0,0.06,12.0,8.33,abhihmumb,mumba,1.0,8.333333333333332,107.991,0,0
316,16,78,15.0,75.67,148.0,51.35,2.0,2.0,76.0,4.75,0.0,0.0,2.0,0.12,5.0,40.0,arjundes,mumba,2.0,40.0,75.998,0,0
318,14,45,9.0,65.42,107.0,42.05,0.0,0.0,45.0,3.21,0.0,0.0,0.0,0.0,4.0,0.0,athul,mumba,0.0,0.0,44.9935,0,0
320,4,10,6.0,72.0,25.0,40.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,dongge,mumba,0.0,0.0,10.0,0,0
322,15,46,9.0,79.38,131.0,32.06,2.0,0.0,42.0,2.8,1.0,0.0,4.0,0.2,11.0,36.36,baliyan,mumba,3.0,27.27272727272727,41.9986,0,0
324,1,0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,vinodk,mumba,0.0,0.0,0.0,0,0
326,5,2,2.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,6.0,33.33,rajaguru,mumba,2.0,33.33333333333333,0.0,0,0
328,16,17,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,1.0,53.0,32.07,harendra,mumba,16.0,30.18867924528302,0.0,0,0
330,10,6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.4,13.0,46.15,chang,mumba,4.0,30.76923076923077,0.0,0,0
332,18,49,9.0,71.42,7.0,57.14,1.0,0.0,4.0,0.22,2.0,2.0,45.0,2.38,101.0,44.55,surinder,mumba,43.0,42.57425742574257,3.9998,0,0
334,18,58,6.0,83.01,53.0,30.18,0.0,0.0,16.0,0.88,5.0,1.0,42.0,2.05,72.0,58.33,sandeepmumba,mumba,37.0,51.388888888888886,15.9954,0,0
338,18,51,7.0,0.0,2.0,50.0,0.0,0.0,1.0,0.05,6.0,3.0,50.0,2.44,85.0,58.82,niteshk,UP,44.0,51.76470588235295,1.0,0,0
341,3,7,4.0,66.66,6.0,100.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.33,1.0,100.0,ankush,UP,1.0,100.0,6.0,0,0
343,4,6,3.0,65.38,26.0,23.07,0.0,0.0,6.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,azad,UP,0.0,0.0,5.998200000000001,0,0
345,10,46,10.0,73.45,113.0,38.05,0.0,1.0,43.0,4.3,1.0,0.0,3.0,0.2,11.0,27.27,monug,UP,2.0,18.181818181818183,42.9965,0,0
347,14,47,9.0,84.49,129.0,35.65,2.0,0.0,46.0,3.28,0.0,0.0,1.0,0.07,8.0,12.5,rishank,UP,1.0,12.5,45.988499999999995,0,0
349,18,117,15.0,77.17,241.0,47.3,2.0,3.0,114.0,6.33,0.0,0.0,3.0,0.16,8.0,37.5,shrinkant,UP,3.0,37.5,113.993,0,0
351,15,62,8.0,75.65,152.0,35.52,1.0,0.0,54.0,3.6,1.0,0.0,8.0,0.46,14.0,57.14,surendergikk,UP,7.0,50.0,53.99040000000001,0,0
353,4,11,5.0,52.17,23.0,43.47,0.0,0.0,10.0,2.5,0.0,0.0,1.0,0.25,4.0,25.0,surendersin,UP,1.0,25.0,9.998099999999999,0,0
355,18,32,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,1.66,79.0,40.5,ashusin,UP,30.0,37.9746835443038,0.0,0,0
357,18,25,4.0,100.0,14.0,14.28,0.0,0.0,2.0,0.11,2.0,0.0,23.0,1.16,64.0,35.93,amitsin,UP,21.0,32.8125,1.9991999999999999,0,0
359,18,63,6.0,85.71,7.0,28.57,0.0,0.0,2.0,0.11,1.0,5.0,61.0,3.33,111.0,54.95,sumitsin,UP,60.0,54.054054054054056,1.9999,0,0
362,11,8,2.0,65.51,29.0,17.24,0.0,0.0,5.0,0.45,1.0,0.0,3.0,0.18,8.0,37.5,mohsenm,UP,2.0,25.0,4.9996,0,0
