,Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,successtackles,successtacklepercent,successfulraid,raidrating,tacklerating
70,7,6,3.0,88.88,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.71,21.0,28.57,ankit,bb,5.0,23.809523809523807,0.0,0,0
72,7,6,4.0,75.0,12.0,8.33,0.0,0.0,1.0,0.14,2.0,0.0,5.0,0.42,19.0,26.31,ashishkumar,bb,3.0,15.789473684210526,0.9996,0,0
74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sanjaysh,bb,0.0,0.0,0.0,0,0
76,18,44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,44.0,2.22,84.0,52.38,joginder,dabang,40.0,47.61904761904761,0.0,0,0
78,2,2,1.0,75.0,4.0,50.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,amankadian,dabang,0.0,0.0,2.0,0,0
80,17,92,11.0,73.36,214.0,41.12,3.0,1.0,88.0,5.17,1.0,0.0,4.0,0.17,16.0,25.0,chandranranjit,dabang,3.0,18.75,87.99680000000001,0,0
82,20,258,19.0,85.29,408.0,62.74,2.0,19.0,256.0,12.8,0.0,0.0,2.0,0.1,6.0,33.33,naveenkumardd,dabang,2.0,33.33333333333333,255.97920000000002,0,0
84,2,0,0.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neerajnar,dabang,0.0,0.0,0.0,0,0
86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sumitkumardd,dabang,0.0,0.0,0.0,0,0
88,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mohitdd,dabang,0.0,0.0,0.0,0,0
90,18,23,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.27,72.0,31.94,vishalmane,dabang,23.0,31.944444444444443,0.0,0,0
92,18,49,8.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,2.72,114.0,42.98,ravinderpahal,dabang,49.0,42.98245614035088,0.0,0,0
94,14,24,4.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,1.64,65.0,36.92,anilkumardd,dabang,23.0,35.38461538461539,0.0,0,0
96,9,8,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.88,20.0,40.0,saeiddd,dabang,8.0,40.0,0.0,0,0
98,7,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14,4.0,25.0,sombirdd,dabang,1.0,25.0,0.0,0,0
100,12,31,12.0,68.75,64.0,46.87,1.0,1.0,30.0,2.5,0.0,0.0,1.0,0.08,2.0,50.0,merajdd,dabang,1.0,50.0,29.996799999999997,0,0
102,17,47,13.0,86.11,72.0,50.0,2.0,1.0,36.0,2.11,0.0,0.0,11.0,0.64,36.0,30.55,vijaydd,dabang,11.0,30.555555555555557,36.0,0,0
104,18,105,13.0,73.79,248.0,40.32,0.0,3.0,100.0,5.55,0.0,0.0,5.0,0.27,17.0,29.41,rogitgulia,gf,5.0,29.411764705882355,99.9936,0,0
106,6,5,4.0,40.0,10.0,50.0,0.0,0.0,5.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,abolfazl,gf,0.0,0.0,5.0,0,0
108,2,4,3.0,42.85,7.0,57.14,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,gurvinder,gf,0.0,0.0,3.9998,0,0
110,3,4,4.0,72.72,11.0,36.36,0.0,0.0,4.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,harmanjits,gf,0.0,0.0,3.9995999999999996,0,0
