78.0,172.0,6.0,100.0,6.0,66.66,0.0,0.0,4.0,0.05,10.0,2.0,168.0,2.02,346.0,48.55,joginder,dabang
3.0,2.0,1.0,57.14,7.0,28.57,0.0,0.0,2.0,0.66,0.0,0.0,0.0,0.0,1.0,0.0,amankadian,dabang
59.0,308.0,11.0,75.29,680.0,43.82,9.0,5.0,298.0,5.05,2.0,0.0,10.0,0.13,43.0,23.25,chandranranjit,dabang
40.0,401.0,17.0,82.86,671.0,58.71,5.0,25.0,394.0,9.85,1.0,0.0,7.0,0.15,18.0,38.88,naveenkumardd,dabang
2.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neerajnar,dabang
1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,sumitkumardd,dabang
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mohitdd,dabang
123.0,193.0,6.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,193.0,1.49,499.0,38.67,vishalmane,dabang
107.0,326.0,9.0,86.2,58.0,24.13,0.0,0.0,14.0,0.13,19.0,22.0,312.0,2.73,633.0,49.28,ravinderpahal,dabang
52.0,78.0,4.0,84.84,33.0,9.09,0.0,0.0,3.0,0.05,5.0,0.0,75.0,1.34,186.0,40.32,anilkumardd,dabang
9.0,8.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.88,20.0,40.0,saeiddd,dabang
30.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,41.0,1.16,97.0,42.26,sombirdd,dabang
94.0,393.0,15.0,78.95,860.0,39.41,17.0,6.0,339.0,3.6,6.0,0.0,54.0,0.51,146.0,36.98,merajdd,dabang
57.0,184.0,13.0,84.96,266.0,46.24,3.0,1.0,123.0,2.15,4.0,1.0,61.0,1.0,163.0,37.42,vijaydd,dabang
56.0,204.0,13.0,76.07,560.0,34.46,2.0,3.0,193.0,3.44,0.0,0.0,11.0,0.19,56.0,19.64,rogitgulia,gf
47.0,152.0,11.0,75.56,356.0,40.44,4.0,0.0,144.0,3.06,1.0,0.0,8.0,0.14,22.0,36.36,abolfazl,gf
45.0,100.0,11.0,74.66,225.0,36.44,2.0,1.0,82.0,1.82,1.0,0.0,18.0,0.37,65.0,27.69,gurvinder,gf
3.0,4.0,4.0,72.72,11.0,36.36,0.0,0.0,4.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,harmanjits,gf
7.0,12.0,5.0,44.44,18.0,27.77,0.0,0.0,5.0,0.71,2.0,0.0,7.0,0.71,6.0,116.66,lalitchau,gf
44.0,167.0,13.0,72.2,349.0,38.1,1.0,2.0,133.0,3.02,3.0,0.0,34.0,0.7,57.0,59.64,moregb,gf
63.0,462.0,14.0,76.03,868.0,49.88,4.0,16.0,433.0,6.87,3.0,0.0,29.0,0.41,55.0,52.72,sachintan,gf
13.0,33.0,8.0,72.46,69.0,42.02,3.0,0.0,29.0,2.23,1.0,0.0,4.0,0.23,4.0,100.0,sonugf,gf
12.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.91,31.0,41.93,ankitgf,gf
74.0,177.0,8.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,177.0,2.25,320.0,55.31,parvesh,gf
14.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,32.0,46.87,sumitgf,gf
